metric,metric_label,k,representation_a,representation_a_name,representation_b,representation_b_name,n_pairs,wilcoxon_statistic,p_value_raw,mean_difference_A_minus_B,median_difference_A_minus_B,pct_A_lower,pct_B_lower,pct_tie,rank_biserial_A_minus_B,p_value_holm,significant_holm
local_R,Local R,20,minilm,MiniLM,bge_m3,BGE-M3,1942,718850.0,1.0581232047860489e-19,0.15763940951059452,0.0754931044636063,41.29763130792997,58.70236869207003,0.0,0.23796267782151778,1.1639355252646537e-18,True
local_R,Local R,20,minilm,MiniLM,tfidf,TF-IDF,1942,745323.0,1.1317966566797262e-15,0.14161394197273888,0.0870124592193443,42.378990731204944,57.621009268795056,0.0,0.2098992236516201,1.0186169910117536e-14,True
local_R,Local R,20,bert_large_pt,BERT Large PT,qwen3,Qwen3,1942,659130.5,1.3316702626409381e-30,-0.13330734896510077,-0.10418906478434092,61.174047373841404,38.825952626158596,0.0,-0.3012700268676858,2.263839446489595e-29,True
local_R,Local R,20,bert_large_pt,BERT Large PT,bge_m3,BGE-M3,1942,867177.0,0.0020618647506930364,-0.015199378895542988,-0.03867031090384987,54.37693099897013,45.62306900102986,0.0,-0.08072443634309012,0.014433053254851256,True
local_R,Local R,20,bert_large_pt,BERT Large PT,tfidf,TF-IDF,1942,867936.0,0.002284890546272807,-0.031224846433398647,-0.040096777190374605,54.17095777548918,45.829042224510815,0.0,-0.07991983687514344,0.014433053254851256,True
local_R,Local R,20,qwen3,Qwen3,bge_m3,BGE-M3,1942,677955.0,6.785341109269545e-27,0.11810797006955778,0.07886142665204765,39.701338825952625,60.298661174047375,0.0,0.2813145819607527,1.0178011663904318e-25,True
local_R,Local R,20,qwen3,Qwen3,tfidf,TF-IDF,1942,743768.0,6.771563663072158e-16,0.10208250253170212,0.08843344722656188,42.224510813594236,57.77548918640577,0.0,0.2115476454864779,6.771563663072158e-15,True
local_R,Local R,20,bge_m3,BGE-M3,tfidf,TF-IDF,1942,936859.0,0.7935611911660874,-0.016025467537855654,-0.00020015130694853167,50.05149330587023,49.94850669412976,0.0,0.006856056731152999,1.0,False
absolute_error_days,Absolute error (days),5,legalbr,LegalBR,e5_base,E5 Base,1942,780759.5,3.1910441941448974e-09,-11.688980432543769,-10.700000000000017,55.3038105046344,43.7178166838311,0.9783728115345005,-0.15590191175214577,6.382088388289795e-08,True
absolute_error_days,Absolute error (days),5,legalbr,LegalBR,minilm,MiniLM,1942,813668.5,1.5765577049229373e-05,-8.619464469618949,-4.0,52.98661174047374,45.6745623069001,1.3388259526261586,-0.11388543119849538,0.0002364836557384406,True
absolute_error_days,Absolute error (days),5,legalbr,LegalBR,bert_large_pt,BERT Large PT,1942,889784.5,0.3872818004866325,-1.4223480947476832,-0.30000000000001137,50.10298661174048,48.14624098867147,1.7507723995880538,-0.022851592314019547,1.0,False
absolute_error_days,Absolute error (days),5,legalbr,LegalBR,qwen3,Qwen3,1942,893329.5,0.2523187125415718,-2.203810504634398,-0.8999999999999773,50.25746652935118,48.558187435633364,1.184346035015448,-0.030170336112558625,1.0,False
absolute_error_days,Absolute error (days),5,legalbr,LegalBR,bge_m3,BGE-M3,1942,901695.0,0.3800070453261688,2.0399588053553033,0.0,49.12461380020597,49.794026776519054,1.0813594232749741,0.023125204148680367,1.0,False
absolute_error_days,Absolute error (days),5,legalbr,LegalBR,tfidf,TF-IDF,1942,905630.0,0.549170902577137,-0.025746652935119137,-1.0,50.617919670442845,48.14624098867147,1.235839340885685,-0.01579126684964199,1.0,False
absolute_error_days,Absolute error (days),5,e5_base,E5 Base,minilm,MiniLM,1942,880807.5,0.13173989221681687,3.06951596292482,1.0,48.043254376931,50.56642636457261,1.3903192584963955,0.03976681184146694,1.0,False
absolute_error_days,Absolute error (days),5,e5_base,E5 Base,bert_large_pt,BERT Large PT,1942,784267.5,1.4090341366883886e-08,10.266632337796086,8.399999999999977,43.35736354273945,55.509783728115345,1.132852729145211,0.14945828995314941,2.6771648597079386e-07,True
absolute_error_days,Absolute error (days),5,e5_base,E5 Base,qwen3,Qwen3,1942,789414.5,4.784614413277057e-07,9.48516992790937,7.600000000000023,45.05664263645726,53.19258496395468,1.7507723995880538,0.1330764677523328,8.133844502570996e-06,True
absolute_error_days,Absolute error (days),5,e5_base,E5 Base,bge_m3,BGE-M3,1942,725138.0,1.7355727595899004e-13,13.728939237899072,9.0,42.790937178166836,54.943357363542745,2.265705458290422,0.19525278403419025,3.644702795138791e-12,True
absolute_error_days,Absolute error (days),5,e5_base,E5 Base,tfidf,TF-IDF,1942,787399.5,1.7397982750797763e-07,11.663233779608653,8.69999999999996,43.666323377960865,54.73738414006179,1.596292481977343,0.1380014187844433,3.1316368951435974e-06,True
absolute_error_days,Absolute error (days),5,minilm,MiniLM,bert_large_pt,BERT Large PT,1942,821142.0,6.093943698408956e-05,7.197116374871267,4.800000000000011,45.829042224510815,52.832131822863026,1.3388259526261586,0.10574651807854783,0.0008531521177772538,True
absolute_error_days,Absolute error (days),5,minilm,MiniLM,qwen3,Qwen3,1942,838866.5,0.0011940051332114368,6.4156539649845525,5.099999999999994,46.086508753862,52.523171987641604,1.3903192584963955,0.08548978779768557,0.014328061598537242,True
absolute_error_days,Absolute error (days),5,minilm,MiniLM,bge_m3,BGE-M3,1942,802308.5,6.856523449434185e-07,10.659423274974255,6.800000000000011,45.15962924819774,53.75901132852729,1.0813594232749741,0.1307981610774392,1.0970437519094696e-05,True
absolute_error_days,Absolute error (days),5,minilm,MiniLM,tfidf,TF-IDF,1942,832585.5,0.0005342073785424658,8.593717816683832,2.9000000000000057,46.70442842430484,51.85375901132853,1.4418125643666324,0.0913887229183889,0.006944695921052056,True
absolute_error_days,Absolute error (days),5,bert_large_pt,BERT Large PT,qwen3,Qwen3,1942,893582.0,0.4557587197362063,-0.7814624098867144,-1.1999999999999886,50.56642636457261,47.73429454170957,1.6992790937178166,-0.01970879191704217,1.0,False
absolute_error_days,Absolute error (days),5,bert_large_pt,BERT Large PT,bge_m3,BGE-M3,1942,890052.0,0.16296667887073446,3.462306900102987,0.9000000000000341,48.66117404737384,50.30895983522142,1.0298661174047374,0.03674182347106579,1.0,False
absolute_error_days,Absolute error (days),5,bert_large_pt,BERT Large PT,tfidf,TF-IDF,1942,897111.5,0.8994478125137071,1.3966014418125647,-1.0,50.360453141091654,47.32234809474768,2.317198764160659,-0.003349529205061733,1.0,False
absolute_error_days,Absolute error (days),5,qwen3,Qwen3,bge_m3,BGE-M3,1942,848190.5,0.017964148953589037,4.243769309989702,1.0,47.579814624098866,50.360453141091654,2.059732234809475,0.06264501288297353,0.1976056384894794,False
