representation_id,representation_name,n_decisions,k,R_k,MAE_days,MAE_baseline_days,MAE_reduction_vs_baseline_pct,global_variance,mean_local_variance
qwen3,Qwen3,1942,100,1.0243786291852186,113.13155509783728,122.01390319258496,7.279783583947741,28978.077077948456,29684.522873532438
qwen3,Qwen3,1942,120,1.0244012172630828,113.55984809474768,122.01390319258496,6.928763752843414,28978.077077948456,29685.17743259383
qwen3,Qwen3,1942,150,1.021859164447361,114.11626501888088,122.01390319258496,6.472736275995173,28978.077077948456,29611.513630163634
bge_m3,BGE-M3,1942,3,0.576843299306362,119.28733264675593,122.01390319258496,2.2346392292077244,28978.077077948456,16715.80958919785
bge_m3,BGE-M3,1942,5,0.6956244037825712,115.1178166838311,122.01390319258496,5.651885832935932,28978.077077948456,20157.857590113283
bge_m3,BGE-M3,1942,10,0.810032335336843,111.24145211122556,122.01390319258496,8.828871792058257,28978.077077948456,23473.179449021627
bge_m3,BGE-M3,1942,20,0.8760976266646374,109.41995365602472,122.01390319258496,10.321733185342119,28978.077077948456,25387.62455329557
bge_m3,BGE-M3,1942,30,0.9018459328029533,109.54253347064882,122.01390319258496,10.221269376368946,28978.077077948456,26133.760953198307
bge_m3,BGE-M3,1942,50,0.9311976544820332,110.10074150360454,122.01390319258496,9.763773944824027,28978.077077948456,26984.31740638517
bge_m3,BGE-M3,1942,70,0.9419101613607833,110.30296454318082,122.01390319258496,9.598036242574558,28978.077077948456,27294.745256415645
bge_m3,BGE-M3,1942,100,0.959994822668024,110.81645726055612,122.01390319258496,9.177188532650217,28978.077077948456,27818.80396570546
bge_m3,BGE-M3,1942,120,0.9674489114622009,111.44922760041196,122.01390319258496,8.658583420200793,28978.077077948456,28034.809125328982
bge_m3,BGE-M3,1942,150,0.9762872274565207,112.20569515962924,122.01390319258496,8.038598697621024,28978.077077948456,28290.92652745165
tfidf,TF-IDF,1942,3,0.5055529081231697,123.04926192928254,122.01390319258496,-0.8485580000365811,28978.077077948456,14649.951138574208
tfidf,TF-IDF,1942,5,0.6056961479166165,117.18352214212152,122.01390319258496,3.958877573844388,28978.077077948456,17551.90966014418
tfidf,TF-IDF,1942,10,0.7586628435063931,113.55751802265705,122.01390319258496,6.930673430371681,28978.077077948456,21984.59035530381
tfidf,TF-IDF,1942,20,0.8921230942024929,112.42502574665292,122.01390319258496,7.858840013336099,28978.077077948456,25852.011786817715
tfidf,TF-IDF,1942,30,0.9483887271890883,112.46793683487813,122.01390319258496,7.823670998082588,28978.077077948456,27482.481636342833
tfidf,TF-IDF,1942,50,1.0035143246881826,112.40935118434605,122.01390319258496,7.871686551227874,28978.077077948456,29079.915449639546
tfidf,TF-IDF,1942,70,1.0255690086340878,112.44930116227748,122.01390319258496,7.838944398992675,28978.077077948456,29719.01778095378
tfidf,TF-IDF,1942,100,1.0442669659799921,112.43747167868177,122.01390319258496,7.8486395921519625,28978.077077948456,30260.848630123586
tfidf,TF-IDF,1942,120,1.0485056687770515,112.76031153450052,122.01390319258496,7.58404691265282,28978.077077948456,30383.6780864873
tfidf,TF-IDF,1942,150,1.056224438353574,113.06785444558874,122.01390319258496,7.331991283711259,28978.077077948456,30607.353186222677
